2700,#ff8000,
2650,#fd7d1c,
2625,#fc7a2b,
2600,#fa7737,
2580,#f87442,
2555,#f6704c,
2530,#f46d55,
2505,#f26a5e,
2480,#ef6766,
2460,#ed646e,
2435,#ea6176,
2410,#e75e7f,
2385,#e45b87,
2360,#e1578f,
2340,#de5496,
2315,#da519e,
2290,#d64ea6,
2265,#d24bae,
2240,#ce48b6,
2220,#c945be,
2195,#c442c6,
2170,#be40ce,
2145,#b83dd6,
2120,#b23ade,
2100,#ab37e6,
2075,#a335ee,
2040,#9842ec,
2020,#8c4bea,
1995,#7f54e8,
1970,#715be5,
1945,#6261e3,
1920,#4f67e1,
1900,#376cdf,
1875,#0070dd,
1810,#1b73d9,
1785,#2877d6,
1760,#317ad2,
1740,#387ecf,
1715,#3e81cb,
1690,#4384c7,
1665,#4888c4,
1640,#4b8bc0,
1620,#4f8fbc,
1595,#5292b9,
1570,#5496b5,
1545,#5799b1,
1520,#599dad,
1500,#5aa0aa,
1475,#5ca4a6,
1450,#5da8a2,
1425,#5eab9e,
1400,#5faf9a,
1380,#5fb296,
1355,#5fb692,
1330,#5fb98e,
1305,#5fbd8a,
1280,#5fc185,
1260,#5ec481,
1235,#5ec87d,
1210,#5ccb78,
1185,#5bcf73,
1160,#5ad36f,
1140,#58d66a,
1115,#56da64,
1090,#53de5f,
1065,#50e159,
1040,#4de553,
1020,#49e94d,
995,#45ec46,
970,#40f03e,
945,#3af435,
920,#33f82a,
900,#2afb1c,
875,#1eff00,
850,#39ff21,
825,#4bff31,
800,#59ff3e,
775,#65ff49,
750,#70ff54,
725,#79ff5d,
700,#82ff66,
675,#8bff6f,
650,#93ff77,
625,#9aff7f,
600,#a2ff87,
575,#a9ff8f,
550,#b0ff97,
525,#b6ff9e,
500,#bcffa6,
475,#c3ffad,
450,#c9ffb5,
425,#cfffbc,
400,#d4ffc4,
375,#daffcb,
350,#e0ffd3,
325,#e5ffda,
300,#eaffe1,
275,#f0ffe9,
250,#f5fff0,
225,#fafff8,
200,#ffffff,
